FL_DATE,ORIGIN,DEST,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,AIR_TIME,DISTANCE
20161201,SEA,LAX,2139,72,2359,43,109,954
20161201,ORD,TUS,0951,-4,1233,-9,201,1437
20161201,BOS,MIA,1232,90,1612,92,191,1258
20161201,MIA,BOS,0656,-4,0938,-31,147,1258
20161201,ORD,TPA,0851,-4,1235,3,137,1012
20161201,TPA,MIA,1322,-1,1417,-12,35,204
20161201,DEN,MIA,1117,-4,1723,13,198,1709
20161201,ORD,CLT,0524,-6,0816,-12,84,599
20161201,CLT,RSW,0951,-4,1205,6,97,600
20161201,CLT,ATL,2236,11,2349,10,41,226
20161201,JFK,CLT,1925,26,2148,39,92,541
20161201,CLT,MSP,1449,-1,1630,-7,136,930
20161201,PIT,CLT,1201,-8,1342,0,69,366
20161201,PHX,PHL,0945,90,1544,69,211,2075
20161201,CLT,MCO,2333,78,0114,81,72,468
20161201,CLT,ROC,1429,-6,1556,-21,76,573
20161201,IND,CLT,1208,-1,1337,-7,66,427
20161201,BDL,CLT,1658,-2,1911,1,115,644
20161201,CLT,RDU,2015,4,2139,31,32,130
20161201,SJU,CLT,1537,-8,1824,-14,199,1475
20161201,CLE,PHL,0906,-9,1016,-23,55,363
20161201,PHL,CLE,0658,-7,0828,-6,66,363
20161201,CLT,DCA,1633,-8,1743,-26,46,331
20161201,MSY,CLT,1252,-7,1533,-12,83,651
20161201,CLT,DEN,2209,-6,2340,-17,192,1337
20161201,FLL,CLT,1915,-4,2107,-12,93,632
20161201,CLT,PBI,0915,-5,1100,-13,90,590
20161201,CLT,DCA,1302,-3,1427,-1,48,331
20161201,PIT,CLT,1018,-7,1150,-12,70,366
20161201,ORD,PHX,1002,2,1250,-4,210,1440
20161201,BDL,PHL,,,,,,196
20161201,PHL,BDL,1610,-5,1709,-13,38,196
20161201,CLT,MSY,0916,-6,1017,-9,100,651
20161201,RIC,CLT,0654,-6,0813,-12,63,257
20161201,CLT,LGA,2033,-8,2228,4,73,544
20161201,ORD,CLT,1638,-6,1919,-25,80,599
20161201,BWI,CLT,1901,-6,2034,-4,65,361
20161201,CLT,PHL,0725,-5,0852,-16,70,449
20161201,CLT,DTW,1257,-3,1444,-4,82,500
20161201,SAT,CLT,0824,-1,1157,-11,127,1095
20161201,DCA,TPA,1936,-9,2204,-4,125,814
20161201,CLT,BWI,0941,-4,1124,9,52,361
20161201,JAX,CLT,0704,-6,0821,-18,53,328
20161201,BDL,CLT,0813,-2,1102,15,114,644
20161201,CLT,FLL,1149,-1,1402,5,96,632
20161201,CLT,BWI,1636,-3,1807,-1,52,361
20161201,STL,CLT,1252,-2,1534,-6,84,575
20161201,AUS,CLT,0648,-12,1015,-21,121,1032
20161201,CLT,MCI,1135,-5,1314,-5,122,808
20161201,PHX,ORD,0753,-7,1221,-2,171,1440
20161201,CLT,BWI,1318,-6,1441,-10,50,361
20161201,FLL,CLT,1153,98,1337,83,85,632
20161201,PHL,RDU,1330,-5,1456,-1,64,337
20161201,RDU,PHL,1530,-9,1656,-19,56,337
20161201,BWI,CLT,1344,-4,1518,0,71,361
20161201,CLT,JFK,1640,26,1839,32,84,541
20161201,CLT,IAH,0740,-5,0926,-9,144,912
20161201,ORF,CLT,0507,-8,0620,-17,58,290
20161201,CLT,ILM,1949,-5,2045,-4,32,185
20161201,DCA,CLT,1715,-7,1858,3,66,331
20161201,ORD,PHL,1404,14,1701,12,83,678
20161201,PHL,MIA,1759,14,2056,9,146,1013
20161201,DFW,FLL,1339,-1,1706,-12,128,1119
20161201,PDX,DFW,0726,1,1302,-12,184,1616
20161201,DFW,ABQ,1853,-2,1957,7,91,569
20161201,IAD,DFW,0706,-8,0943,-2,182,1172
20161201,DFW,SLC,1248,-2,1439,-2,144,989
20161201,JFK,BOS,1657,-3,1830,16,36,187
20161201,BOS,PBI,1038,-2,1400,5,188,1197
20161201,JFK,TPA,1607,42,1920,43,155,1005
20161201,EWR,MCO,1450,5,1759,27,157,937
20161201,MCO,EWR,1119,4,1401,8,119,937
20161201,JFK,RSW,0925,-2,1248,6,173,1074
20161201,RSW,JFK,1612,167,1850,162,139,1074
20161201,HOU,BOS,1817,2,2234,-15,178,1609
20161201,SRQ,BOS,1455,5,1724,-27,135,1220
20161201,LAS,JFK,2144,-13,0517,-24,252,2248
20161201,BOS,MCO,1414,7,1743,24,183,1121
20161201,MCO,BOS,1625,44,1855,21,132,1121
20161201,SJU,FLL,1009,-11,1152,-13,141,1046
20161201,BDL,FLL,0819,-11,1136,-6,180,1173
20161201,BOS,RSW,1057,7,1444,16,195,1249
20161201,RSW,BOS,0555,-5,0825,-34,136,1249
20161201,RIC,MCO,1846,-11,2056,-3,107,667
20161201,MCO,RIC,0854,-6,1030,-19,81,667
20161201,LGA,FLL,0936,6,1249,10,174,1076
20161201,PHL,FLL,1705,16,1951,11,145,992
20161201,DFW,GRI,2021,-9,2218,-4,82,561
20161201,GRI,DFW,0701,-11,0927,13,98,561
